"","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"P064",1,0.408209581059384,0.58921080634416,0.357001668485693,0.299922433440712,0.303739038388553,0.281840434012901,0.176076185350552,0.342405812753075,0.378980170436209,0.427115233250773,0.277014795768733,0.436121447400506
"P301",0.408209581059384,1,0.545568828036771,0.621039447831171,0.338500243306591,0.2168244333876,0.298939402815413,0.439932213956705,0.361116443832437,0.552639496835623,0.483580722479847,0.333688419551603,0.281302834790068
"P060",0.58921080634416,0.545568828036771,1,0.490878693706858,0.527624771574084,0.451866489285999,0.498826300276719,0.152805047727869,0.388626036900287,0.310177719064671,0.434615079638574,0.289325302064854,0.393758998991069
"P027",0.357001668485693,0.621039447831171,0.490878693706858,1,0.500521586306843,0.444497452578158,0.427080828642439,0.463342747530293,0.464371327015412,0.466131451445145,0.477083861751043,0.374001433101518,0.408910360816133
"P088",0.299922433440712,0.338500243306591,0.527624771574084,0.500521586306843,1,0.79505738693201,0.685448260817246,0.360379465769461,0.507369042847164,0.342641065059564,0.299493052005293,0.462238079553023,0.358252998289118
"P026",0.303739038388553,0.2168244333876,0.451866489285999,0.444497452578158,0.79505738693201,1,0.666713138385284,0.292840850714649,0.46682158754748,0.290473234146219,0.315098263617832,0.44004789381051,0.394512826138155
"P4026A",0.281840434012901,0.298939402815413,0.498826300276719,0.427080828642439,0.685448260817246,0.666713138385284,1,0.2878498310471,0.410910867997755,0.247892120907324,0.376060602693238,0.454396121436098,0.350829394408037
"P106",0.176076185350552,0.439932213956705,0.152805047727869,0.463342747530293,0.360379465769461,0.292840850714649,0.2878498310471,1,0.355541964681118,0.585484377222138,0.52047868523657,0.431857861797029,0.328917326600241
"P089",0.342405812753075,0.361116443832437,0.388626036900287,0.464371327015412,0.507369042847164,0.46682158754748,0.410910867997755,0.355541964681118,1,0.470656255056481,0.423490422921516,0.604928697095222,0.502845865997088
"P098",0.378980170436209,0.552639496835623,0.310177719064671,0.466131451445145,0.342641065059564,0.290473234146219,0.247892120907324,0.585484377222138,0.470656255056481,1,0.43349713115032,0.417797275887836,0.365864116319972
"P097",0.427115233250773,0.483580722479847,0.434615079638574,0.477083861751043,0.299493052005293,0.315098263617832,0.376060602693238,0.52047868523657,0.423490422921516,0.43349713115032,1,0.513597928857109,0.430017780958161
"P022A",0.277014795768733,0.333688419551603,0.289325302064854,0.374001433101518,0.462238079553023,0.44004789381051,0.454396121436098,0.431857861797029,0.604928697095222,0.417797275887836,0.513597928857109,1,0.336069660418909
"P067",0.436121447400506,0.281302834790068,0.393758998991069,0.408910360816133,0.358252998289118,0.394512826138155,0.350829394408037,0.328917326600241,0.502845865997088,0.365864116319972,0.430017780958161,0.336069660418909,1
